$SETUP1;Time;;;;;;;;;;;;;;;;;
$SETUP2;sec;;;;;;;;;;;;;;;;;
$D;45,21;;;;;;;;1,0;;;;;;;;0,1;
$D;45,30;;;;;;;;;3,0;;;;;;;0,0;
$D;45,40;;;;;;;;;;0,0;;;;;;0,0;
$D;45,51;;;;;;;;;;;0,8;;;;;0,0;
$D;45,63;;;;;;;;;;;;1,4;;;;0,0;
$D;45,72;5,0;;;;;;;;;;;;;;;0,0;
$D;45,83;;100,0;;;;;;;;;;;;;;0,0;
$D;45,94;;;12,4;;;;;;;;;;;;;0,0;
$D;46,05;;;;100,0;;;;;;;;;;;;0,0;
$D;46,14;;;;;0,1;;;;;;;;;;;0,0;
$D;46,26;;;;;;0,0;;;;;;;;;;0,0;
$D;46,37;;;;;;;0,0;;;;;;;;;0,0;
$D;46,41;;;;;;;;1,0;;;;;;;;0,0;
$D;46,52;;;;;;;;;3,0;;;;;;;0,0;
$D;46,63;;;;;;;;;;0,0;;;;;;0,0;
