# Funtana
000000000;4310520667;0;MUI-75;
000000000;4310520667;1;Voltage;V
000000000;4310520667;2;Current;A
000000000;4310520667;3;Capacity;mAh
000000000;4310520667;4;Run time;s
000228296;4310520667;4;5;0;33
000228503;4310520667;1;1;1;396
000228503;4310520667;2;1;1;75
000228503;4310520667;3;4;0;312
000228503;4310520667;4;5;0;33
000228936;4310520667;1;1;1;393
000228936;4310520667;2;1;1;118
000228940;4310520667;3;4;0;313
000228940;4310520667;4;5;0;34
000229136;4310520667;1;1;1;393
000229136;4310520667;2;1;1;116
000229136;4310520667;3;4;0;314
000229136;4310520667;4;5;0;34
000229476;4310520667;1;1;1;393
000229476;4310520667;2;1;1;116
000229476;4310520667;3;4;0;315
000229476;4310520667;4;5;0;34
000229703;4310520667;1;1;1;393
000229703;4310520667;2;1;1;117
000229703;4310520667;3;4;0;316
000229703;4310520667;4;5;0;34
000229896;4310520667;1;1;1;393
000229896;4310520667;2;1;1;115
000229896;4310520667;3;4;0;316
000229899;4310520667;4;5;0;35
000230096;4310520667;1;1;1;390
000230096;4310520667;2;1;1;144
000230096;4310520667;3;4;0;317
000230096;4310520667;4;5;0;35
000230317;4310520667;1;1;1;387
000230317;4310520667;2;1;1;165
000230317;4310520667;3;4;0;318
000230317;4310520667;4;5;0;35
000230543;4310520667;1;1;1;388
000230543;4310520667;2;1;1;171
000230543;4310520667;3;4;0;319
000230543;4310520667;4;5;0;35
000230736;4310520667;1;1;1;387
000230736;4310520667;2;1;1;180
000230736;4310520667;3;4;0;320
000230740;4310520667;4;5;0;35
000230956;4310520667;1;1;1;387
000230956;4310520667;2;1;1;186
000230956;4310520667;3;4;0;322
000230956;4310520667;4;5;0;36
000231196;4310520667;1;1;1;386
000231196;4310520667;2;1;1;191
000231196;4310520667;3;4;0;323
000231196;4310520667;4;5;0;36
000231396;4310520667;1;1;1;385
000231396;4310520667;2;1;1;195
000231396;4310520667;3;4;0;324
000231396;4310520667;4;5;0;36
000231617;4310520667;1;1;1;381
000231617;4310520667;2;1;1;262
000231617;4310520667;3;4;0;325
000231617;4310520667;4;5;0;36
